gutenberg_id,line,section,word,first_appearance,gt_est
84,78,Letter 1,my,0,0.4801223241590214
84,78,Letter 1,enticements,1,0.47865853658536583
84,78,Letter 1,and,0,0.48024316109422494
84,78,Letter 1,they,1,0.47878787878787876
84,78,Letter 1,are,0,0.48036253776435045
84,78,Letter 1,sufficient,1,0.4789156626506024
84,78,Letter 1,to,0,0.4804804804804805
84,79,Letter 1,conquer,1,0.47904191616766467
84,79,Letter 1,all,1,0.48059701492537316
84,79,Letter 1,fear,1,0.48214285714285715
84,79,Letter 1,of,0,0.4836795252225519
84,79,Letter 1,danger,1,0.4822485207100592
84,79,Letter 1,or,1,0.4837758112094395
84,79,Letter 1,death,1,0.4852941176470588
84,79,Letter 1,and,0,0.4868035190615836
84,79,Letter 1,to,0,0.4853801169590643
84,79,Letter 1,induce,1,0.4839650145772595
84,79,Letter 1,me,0,0.48546511627906974
84,79,Letter 1,to,0,0.48405797101449277
84,79,Letter 1,commence,1,0.48265895953757226
84,79,Letter 1,this,0,0.484149855907781
84,80,Letter 1,laborious,1,0.4827586206896552
84,80,Letter 1,voyage,0,0.48424068767908307
84,80,Letter 1,with,0,0.48
84,80,Letter 1,the,0,0.47863247863247865
84,80,Letter 1,joy,1,0.4772727272727273
84,80,Letter 1,a,0,0.47875354107648727
84,80,Letter 1,child,1,0.4774011299435028
84,80,Letter 1,feels,1,0.4788732394366197
84,80,Letter 1,when,1,0.4803370786516854
84,80,Letter 1,he,1,0.48179271708683474
84,80,Letter 1,embarks,1,0.48324022346368717
84,80,Letter 1,in,0,0.48467966573816157
84,80,Letter 1,a,0,0.48333333333333334
84,80,Letter 1,little,1,0.481994459833795
84,81,Letter 1,boat,1,0.48342541436464087
84,81,Letter 1,with,0,0.48484848484848486
84,81,Letter 1,his,1,0.4835164835164835
84,81,Letter 1,holiday,1,0.4849315068493151
84,81,Letter 1,mates,1,0.48633879781420764
84,81,Letter 1,on,0,0.4877384196185286
84,81,Letter 1,an,0,0.483695652173913
84,81,Letter 1,expedition,1,0.4796747967479675
84,81,Letter 1,of,0,0.4810810810810811
84,81,Letter 1,discovery,1,0.4797843665768194
84,81,Letter 1,up,1,0.48118279569892475
84,81,Letter 1,his,0,0.48257372654155495
84,82,Letter 1,native,1,0.4786096256684492
84,82,Letter 1,river,1,0.48
84,82,Letter 1,but,1,0.48138297872340424
84,82,Letter 1,supposing,1,0.4827586206896552
84,82,Letter 1,all,0,0.48412698412698413
84,82,Letter 1,these,0,0.48021108179419525
84,82,Letter 1,conjectures,1,0.4763157894736842
84,82,Letter 1,to,0,0.4776902887139108
84,82,Letter 1,be,0,0.47643979057591623
84,82,Letter 1,false,1,0.4751958224543081
84,82,Letter 1,you,0,0.4765625
84,83,Letter 1,cannot,1,0.4753246753246753
84,83,Letter 1,contest,1,0.47668393782383417
84,83,Letter 1,the,0,0.4780361757105943
84,83,Letter 1,inestimable,1,0.47680412371134023
84,83,Letter 1,benefit,1,0.4781491002570694
84,83,Letter 1,which,0,0.4794871794871795
84,83,Letter 1,i,0,0.4782608695652174
84,83,Letter 1,shall,0,0.4770408163265306
84,83,Letter 1,confer,1,0.4732824427480916
84,83,Letter 1,on,0,0.4746192893401015
84,83,Letter 1,all,0,0.47341772151898737
84,84,Letter 1,mankind,1,0.4722222222222222
84,84,Letter 1,to,0,0.473551637279597
84,84,Letter 1,the,0,0.4723618090452261
84,84,Letter 1,last,1,0.47117794486215536
84,84,Letter 1,generation,1,0.4725
84,84,Letter 1,by,0,0.47381546134663344
84,84,Letter 1,discovering,1,0.472636815920398
84,84,Letter 1,a,0,0.4739454094292804
84,84,Letter 1,passage,1,0.47277227722772275
84,84,Letter 1,near,1,0.4740740740740741
84,84,Letter 1,the,0,0.4753694581280788
84,84,Letter 1,pole,0,0.4742014742014742
84,85,Letter 1,to,0,0.47058823529411764
84,85,Letter 1,those,0,0.46943765281173594
84,85,Letter 1,countries,1,0.4682926829268293
84,85,Letter 1,to,0,0.46958637469586373
84,85,Letter 1,reach,1,0.4684466019417476
84,85,Letter 1,which,0,0.46973365617433416
84,85,Letter 1,at,1,0.46859903381642515
84,85,Letter 1,present,1,0.46987951807228917
84,85,Letter 1,so,1,0.47115384615384615
84,85,Letter 1,many,1,0.4724220623501199
84,85,Letter 1,months,1,0.47368421052631576
84,85,Letter 1,are,0,0.47494033412887826
84,86,Letter 1,requisite,1,0.4738095238095238
84,86,Letter 1,or,0,0.4750593824228028
84,86,Letter 1,by,0,0.471563981042654
84,86,Letter 1,ascertaining,1,0.47044917257683216
84,86,Letter 1,the,0,0.4716981132075472
84,86,Letter 1,secret,1,0.47058823529411764
84,86,Letter 1,of,0,0.47183098591549294
84,86,Letter 1,the,0,0.4707259953161593
84,86,Letter 1,magnet,1,0.4696261682242991
84,86,Letter 1,which,0,0.47086247086247085
84,86,Letter 1,if,1,0.4697674418604651
84,86,Letter 1,at,0,0.4709976798143852
84,87,Letter 1,all,0,0.4675925925925926
84,87,Letter 1,possible,1,0.4665127020785219
84,87,Letter 1,can,1,0.46774193548387094
84,87,Letter 1,only,0,0.4689655172413793
84,87,Letter 1,be,0,0.46559633027522934
84,87,Letter 1,effected,1,0.4645308924485126
84,87,Letter 1,by,0,0.4657534246575342
84,87,Letter 1,an,0,0.4646924829157175
84,87,Letter 1,undertaking,0,0.4636363636363636
84,87,Letter 1,such,0,0.4603174603174603
84,87,Letter 1,as,0,0.45701357466063347
84,87,Letter 1,mine,1,0.45598194130925507
84,89,Letter 1,these,0,0.4572072072072072
84,89,Letter 1,reflections,1,0.45617977528089887
84,89,Letter 1,have,0,0.45739910313901344
84,89,Letter 1,dispelled,1,0.4541387024608501
84,89,Letter 1,the,0,0.45535714285714285
84,89,Letter 1,agitation,1,0.45434298440979953
84,89,Letter 1,with,0,0.45555555555555555
84,89,Letter 1,which,0,0.45454545454545453
84,89,Letter 1,i,0,0.45353982300884954
84,89,Letter 1,began,1,0.45253863134657835
84,89,Letter 1,my,0,0.45374449339207046
84,90,Letter 1,letter,1,0.45274725274725275
84,90,Letter 1,and,0,0.45394736842105265
84,90,Letter 1,i,0,0.45295404814004375
84,90,Letter 1,feel,0,0.4519650655021834
84,90,Letter 1,my,0,0.44880174291938996
84,90,Letter 1,heart,1,0.44782608695652176
84,90,Letter 1,glow,1,0.4490238611713666
84,90,Letter 1,with,0,0.45021645021645024
84,90,Letter 1,an,0,0.44924406047516197
84,90,Letter 1,enthusiasm,1,0.4482758620689655
84,90,Letter 1,which,0,0.44946236559139785
84,90,Letter 1,elevates,1,0.44849785407725323
84,90,Letter 1,me,0,0.44967880085653106
84,91,Letter 1,to,0,0.44871794871794873
84,91,Letter 1,heaven,1,0.44776119402985076
84,91,Letter 1,for,0,0.44893617021276594
84,91,Letter 1,nothing,1,0.44798301486199577
84,91,Letter 1,contributes,1,0.4491525423728814
84,91,Letter 1,so,0,0.4503171247357294
84,91,Letter 1,much,1,0.4472573839662447
84,91,Letter 1,to,0,0.44842105263157894
84,91,Letter 1,tranquillise,1,0.4474789915966387
84,91,Letter 1,the,0,0.44863731656184486
84,91,Letter 1,mind,1,0.4476987447698745
84,91,Letter 1,as,0,0.4488517745302714
84,92,Letter 1,a,0,0.4479166666666667
84,92,Letter 1,steady,1,0.446985446985447
84,92,Letter 1,purpose,1,0.44813278008298757
84,92,Letter 1,a,0,0.4492753623188406
84,92,Letter 1,point,1,0.44834710743801653
84,92,Letter 1,on,0,0.44948453608247424
84,92,Letter 1,which,0,0.448559670781893
84,92,Letter 1,the,0,0.44763860369609854
84,92,Letter 1,soul,1,0.44672131147540983
84,92,Letter 1,may,0,0.44785276073619634
84,92,Letter 1,fix,1,0.44693877551020406
84,92,Letter 1,its,0,0.4480651731160896
84,92,Letter 1,intellectual,1,0.44715447154471544
84,93,Letter 1,eye,1,0.4482758620689655
84,93,Letter 1,this,0,0.4493927125506073
84,93,Letter 1,expedition,0,0.4484848484848485
84,93,Letter 1,has,0,0.44556451612903225
84,93,Letter 1,been,1,0.44466800804828976
84,93,Letter 1,the,0,0.4457831325301205
84,93,Letter 1,favourite,1,0.44488977955911824
84,93,Letter 1,dream,1,0.446
84,93,Letter 1,of,0,0.4471057884231537
84,93,Letter 1,my,0,0.44621513944223107
84,93,Letter 1,early,1,0.44532803180914515
84,93,Letter 1,years,1,0.44642857142857145
